时段,时刻,负荷(MW)
1,00:15,706.5
2,00:30,704.1
3,00:45,701.5
4,01:00,698.9
5,01:15,696.4
6,01:30,694.0
7,01:45,691.8
8,02:00,690.1
9,02:15,688.9
10,02:30,688.4
11,02:45,688.8
12,03:00,690.3
13,03:15,693.2
14,03:30,697.6
15,03:45,703.9
16,04:00,712.4
17,04:15,723.5
18,04:30,737.3
19,04:45,754.3
20,05:00,774.6
21,05:15,798.3
22,05:30,825.3
23,05:45,855.1
24,06:00,887.3
25,06:15,920.8
26,06:30,954.7
27,06:45,987.4
28,07:00,1017.7
29,07:15,1044.2
30,07:30,1065.4
31,07:45,1080.6
32,08:00,1088.9
33,08:15,1090.2
34,08:30,1084.7
35,08:45,1073.1
36,09:00,1056.3
37,09:15,1035.8
38,09:30,1012.8
39,09:45,988.8
40,10:00,965.0
41,10:15,942.5
42,10:30,922.1
43,10:45,904.3
44,11:00,889.4
45,11:15,877.4
46,11:30,868.1
47,11:45,861.1
48,12:00,856.2
49,12:15,852.8
50,12:30,850.6
51,12:45,849.4
52,13:00,848.8
53,13:15,848.8
54,13:30,849.3
55,13:45,850.4
56,14:00,852.3
57,14:15,855.1
58,14:30,859.2
59,14:45,864.8
60,15:00,872.2
61,15:15,881.9
62,15:30,893.9
63,15:45,908.4
64,16:00,925.6
65,16:15,945.1
66,16:30,966.8
67,16:45,990.2
68,17:00,1014.5
69,17:15,1039.0
70,17:30,1062.8
71,17:45,1084.8
72,18:00,1104.0
73,18:15,1119.4
74,18:30,1130.2
75,18:45,1135.8
76,19:00,1135.7
77,19:15,1129.7
78,19:30,1118.1
79,19:45,1101.2
80,20:00,1079.6
81,20:15,1054.1
82,20:30,1025.9
83,20:45,995.8
84,21:00,964.9
85,21:15,934.1
86,21:30,904.4
87,21:45,876.3
88,22:00,850.5
89,22:15,827.3
90,22:30,806.9
91,22:45,789.3
92,23:00,774.4
93,23:15,762.0
94,23:30,752.0
95,23:45,744.0
96,24:00,737.7
