机组ID,机组类型,时段,出力(MW)
W1,风电,1,45.5
W1,风电,2,46.7
W1,风电,3,47.7
W1,风电,4,48.6
W1,风电,5,49.3
W1,风电,6,49.8
W1,风电,7,50.2
W1,风电,8,50.4
W1,风电,9,50.4
W1,风电,10,50.3
W1,风电,11,50.0
W1,风电,12,49.6
W1,风电,13,49.2
W1,风电,14,48.7
W1,风电,15,48.2
W1,风电,16,47.7
W1,风电,17,47.2
W1,风电,18,46.8
W1,风电,19,46.4
W1,风电,20,46.2
W1,风电,21,46.0
W1,风电,22,46.0
W1,风电,23,46.0
W1,风电,24,46.2
W1,风电,25,46.5
W1,风电,26,46.8
W1,风电,27,47.2
W1,风电,28,47.7
W1,风电,29,48.1
W1,风电,30,48.5
W1,风电,31,48.9
W1,风电,32,49.2
W1,风电,33,49.4
W1,风电,34,49.4
W1,风电,35,49.3
W1,风电,36,49.1
W1,风电,37,48.7
W1,风电,38,48.1
W1,风电,39,47.3
W1,风电,40,46.4
W1,风电,41,45.3
W1,风电,42,44.1
W1,风电,43,42.8
W1,风电,44,41.4
W1,风电,45,40.0
W1,风电,46,38.5
W1,风电,47,37.1
W1,风电,48,35.7
W1,风电,49,34.5
W1,风电,50,33.3
W1,风电,51,32.3
W1,风电,52,31.4
W1,风电,53,30.7
W1,风电,54,30.2
W1,风电,55,29.8
W1,风电,56,29.6
W1,风电,57,29.6
W1,风电,58,29.7
W1,风电,59,30.0
W1,风电,60,30.4
W1,风电,61,30.8
W1,风电,62,31.3
W1,风电,63,31.8
W1,风电,64,32.3
W1,风电,65,32.8
W1,风电,66,33.2
W1,风电,67,33.6
W1,风电,68,33.8
W1,风电,69,34.0
W1,风电,70,34.0
W1,风电,71,34.0
W1,风电,72,33.8
W1,风电,73,33.5
W1,风电,74,33.2
W1,风电,75,32.8
W1,风电,76,32.3
W1,风电,77,31.9
W1,风电,78,31.5
W1,风电,79,31.1
W1,风电,80,30.8
W1,风电,81,30.6
W1,风电,82,30.6
W1,风电,83,30.7
W1,风电,84,30.9
W1,风电,85,31.3
W1,风电,86,31.9
W1,风电,87,32.7
W1,风电,88,33.6
W1,风电,89,34.7
W1,风电,90,35.9
W1,风电,91,37.2
W1,风电,92,38.6
W1,风电,93,40.0
W1,风电,94,41.5
