时段,时刻,负荷(MW),平均负荷(MW),缩放比例,缩放比例(%),与均值偏差(MW)
1,00:15,706.5,894.8958,0.7895,78.95%,-188.40
2,00:30,704.1,894.8958,0.7868,78.68%,-190.80
3,00:45,701.5,894.8958,0.7839,78.39%,-193.40
4,01:00,698.9,894.8958,0.7810,78.10%,-196.00
5,01:15,696.4,894.8958,0.7782,77.82%,-198.50
6,01:30,694.0,894.8958,0.7755,77.55%,-200.90
7,01:45,691.8,894.8958,0.7731,77.31%,-203.10
8,02:00,690.1,894.8958,0.7712,77.12%,-204.80
9,02:15,688.9,894.8958,0.7698,76.98%,-206.00
10,02:30,688.4,894.8958,0.7693,76.93%,-206.50
11,02:45,688.8,894.8958,0.7697,76.97%,-206.10
12,03:00,690.3,894.8958,0.7714,77.14%,-204.60
13,03:15,693.2,894.8958,0.7746,77.46%,-201.70
14,03:30,697.6,894.8958,0.7795,77.95%,-197.30
15,03:45,703.9,894.8958,0.7866,78.66%,-191.00
16,04:00,712.4,894.8958,0.7961,79.61%,-182.50
17,04:15,723.5,894.8958,0.8085,80.85%,-171.40
18,04:30,737.3,894.8958,0.8239,82.39%,-157.60
19,04:45,754.3,894.8958,0.8429,84.29%,-140.60
20,05:00,774.6,894.8958,0.8656,86.56%,-120.30
21,05:15,798.3,894.8958,0.8921,89.21%,-96.60
22,05:30,825.3,894.8958,0.9222,92.22%,-69.60
23,05:45,855.1,894.8958,0.9555,95.55%,-39.80
24,06:00,887.3,894.8958,0.9915,99.15%,-7.60
25,06:15,920.8,894.8958,1.0289,102.89%,25.90
26,06:30,954.7,894.8958,1.0668,106.68%,59.80
27,06:45,987.4,894.8958,1.1034,110.34%,92.50
28,07:00,1017.7,894.8958,1.1372,113.72%,122.80
29,07:15,1044.2,894.8958,1.1668,116.68%,149.30
30,07:30,1065.4,894.8958,1.1905,119.05%,170.50
31,07:45,1080.6,894.8958,1.2075,120.75%,185.70
32,08:00,1088.9,894.8958,1.2168,121.68%,194.00
33,08:15,1090.2,894.8958,1.2182,121.82%,195.30
34,08:30,1084.7,894.8958,1.2121,121.21%,189.80
35,08:45,1073.1,894.8958,1.1991,119.91%,178.20
36,09:00,1056.3,894.8958,1.1804,118.04%,161.40
37,09:15,1035.8,894.8958,1.1575,115.75%,140.90
38,09:30,1012.8,894.8958,1.1318,113.18%,117.90
39,09:45,988.8,894.8958,1.1049,110.49%,93.90
40,10:00,965.0,894.8958,1.0783,107.83%,70.10
41,10:15,942.5,894.8958,1.0532,105.32%,47.60
42,10:30,922.1,894.8958,1.0304,103.04%,27.20
43,10:45,904.3,894.8958,1.0105,101.05%,9.40
