period,用户名称,负荷编号,第1段申报量(MW),第1段报价(元/MWh)
1,一号工业园区,L1,230.6,500.000
1,二号商业综合体,L2,271.3,380.000
1,三号居民小区,L3,176.3,280.000
2,一号工业园区,L1,229.8,500.000
2,二号商业综合体,L2,270.4,380.000
2,三号居民小区,L3,175.7,280.000
3,一号工业园区,L1,229.0,500.000
3,二号商业综合体,L2,269.4,380.000
3,三号居民小区,L3,175.0,280.000
4,一号工业园区,L1,228.2,500.000
4,二号商业综合体,L2,268.4,380.000
4,三号居民小区,L3,174.4,280.000
5,一号工业园区,L1,227.3,500.000
5,二号商业综合体,L2,267.5,380.000
5,三号居民小区,L3,173.8,280.000
6,一号工业园区,L1,226.6,500.000
6,二号商业综合体,L2,266.5,380.000
6,三号居民小区,L3,173.2,280.000
7,一号工业园区,L1,225.8,500.000
7,二号商业综合体,L2,265.7,380.000
7,三号居民小区,L3,172.6,280.000
8,一号工业园区,L1,225.3,500.000
8,二号商业综合体,L2,265.1,380.000
8,三号居民小区,L3,172.2,280.000
9,一号工业园区,L1,224.9,500.000
9,二号商业综合体,L2,264.6,380.000
9,三号居民小区,L3,171.9,280.000
10,一号工业园区,L1,224.7,500.000
10,二号商业综合体,L2,264.4,380.000
10,三号居民小区,L3,171.7,280.000
11,一号工业园区,L1,224.8,500.000
11,二号商业综合体,L2,264.6,380.000
11,三号居民小区,L3,171.8,280.000
12,一号工业园区,L1,225.3,500.000
12,二号商业综合体,L2,265.2,380.000
12,三号居民小区,L3,172.2,280.000
13,一号工业园区,L1,226.3,500.000
13,二号商业综合体,L2,266.2,380.000
13,三号居民小区,L3,173.0,280.000
14,一号工业园区,L1,227.7,500.000
14,二号商业综合体,L2,267.9,380.000
14,三号居民小区,L3,174.0,280.000
15,一号工业园区,L1,229.8,500.000
15,二号商业综合体,L2,270.3,380.000
15,三号居民小区,L3,175.7,280.000
16,一号工业园区,L1,232.5,500.000
16,二号商业综合体,L2,273.6,380.000
16,三号居民小区,L3,177.8,280.000
17,一号工业园区,L1,236.2,500.000
17,二号商业综合体,L2,277.8,380.000
17,三号居民小区,L3,180.6,280.000
18,一号工业园区,L1,240.7,500.000
18,二号商业综合体,L2,283.2,380.000
18,三号居民小区,L3,183.9,280.000
19,一号工业园区,L1,246.2,500.000
19,二号商业综合体,L2,289.7,380.000
19,三号居民小区,L3,188.3,280.000
20,一号工业园区,L1,252.9,500.000
20,二号商业综合体,L2,297.5,380.000
20,三号居民小区,L3,193.2,280.000
21,一号工业园区,L1,260.6,500.000
21,二号商业综合体,L2,306.6,380.000
21,三号居民小区,L3,199.2,280.000
22,一号工业园区,L1,269.4,500.000
22,二号商业综合体,L2,317.0,380.000
22,三号居民小区,L3,205.9,280.000
23,一号工业园区,L1,279.2,500.000
23,二号商业综合体,L2,328.4,380.000
23,三号居民小区,L3,213.4,280.000
24,一号工业园区,L1,289.6,500.000
24,二号商业综合体,L2,340.8,380.000
24,三号居民小区,L3,221.4,280.000
25,一号工业园区,L1,300.6,500.000
25,二号商业综合体,L2,353.7,380.000
25,三号居民小区,L3,229.7,280.000
26,一号工业园区,L1,311.6,500.000
26,二号商业综合体,L2,366.6,380.000
26,三号居民小区,L3,238.2,280.000
27,一号工业园区,L1,322.4,500.000
27,二号商业综合体,L2,379.2,380.000
27,三号居民小区,L3,246.3,280.000
28,一号工业园区,L1,338.1,500.000
28,二号商业综合体,L2,397.7,380.000
28,三号居民小区,L3,258.4,280.000
29,一号工业园区,L1,355.9,500.000
29,二号商业综合体,L2,418.7,380.000
29,三号居民小区,L3,272.0,280.000
30,一号工业园区,L1,370.5,500.000
30,二号商业综合体,L2,435.8,380.000
30,三号居民小区,L3,283.2,280.000
31,一号工业园区,L1,381.1,500.000
31,二号商业综合体,L2,448.4,380.000
31,三号居民小区,L3,291.3,280.000
32,一号工业园区,L1,387.0,500.000
32,二号商业综合体,L2,455.2,380.000
32,三号居民小区,L3,295.8,280.000
33,一号工业园区,L1,387.9,500.000
33,二号商业综合体,L2,456.3,380.000
33,三号居民小区,L3,296.5,280.000
34,一号工业园区,L1,384.0,500.000
34,二号商业综合体,L2,451.7,380.000
34,三号居民小区,L3,293.5,280.000
35,一号工业园区,L1,375.8,500.000
35,二号商业综合体,L2,442.2,380.000
35,三号居民小区,L3,287.3,280.000
36,一号工业园区,L1,364.2,500.000
36,二号商业综合体,L2,428.5,380.000
36,三号居民小区,L3,278.4,280.000
37,一号工业园区,L1,350.2,500.000
37,二号商业综合体,L2,412.0,380.000
37,三号居民小区,L3,267.7,280.000
38,一号工业园区,L1,334.8,500.000
38,二号商业综合体,L2,394.0,380.000
38,三号居民小区,L3,255.9,280.000
39,一号工业园区,L1,322.8,500.000
39,二号商业综合体,L2,379.8,380.000
39,三号居民小区,L3,246.7,280.000
40,一号工业园区,L1,315.0,500.000
40,二号商业综合体,L2,370.6,380.000
40,三号居民小区,L3,240.8,280.000
41,一号工业园区,L1,307.7,500.000
41,二号商业综合体,L2,361.9,380.000
41,三号居民小区,L3,235.2,280.000
42,一号工业园区,L1,301.1,500.000
42,二号商业综合体,L2,354.1,380.000
42,三号居民小区,L3,230.1,280.000
43,一号工业园区,L1,295.2,500.000
43,二号商业综合体,L2,347.3,380.000
43,三号居民小区,L3,225.6,280.000
44,一号工业园区,L1,290.3,500.000
44,二号商业综合体,L2,341.6,380.000
44,三号居民小区,L3,222.0,280.000
45,一号工业园区,L1,286.5,500.000
45,二号商业综合体,L2,337.0,380.000
45,三号居民小区,L3,219.0,280.000
46,一号工业园区,L1,283.4,500.000
46,二号商业综合体,L2,333.4,380.000
46,三号居民小区,L3,216.6,280.000
47,一号工业园区,L1,281.1,500.000
47,二号商业综合体,L2,330.7,380.000
47,三号居民小区,L3,214.8,280.000
48,一号工业园区,L1,279.5,500.000
48,二号商业综合体,L2,328.8,380.000
48,三号居民小区,L3,213.6,280.000
49,一号工业园区,L1,278.4,500.000
49,二号商业综合体,L2,327.6,380.000
49,三号居民小区,L3,212.8,280.000
50,一号工业园区,L1,277.6,500.000
50,二号商业综合体,L2,326.7,380.000
50,三号居民小区,L3,212.3,280.000
51,一号工业园区,L1,277.2,500.000
51,二号商业综合体,L2,326.2,380.000
51,三号居民小区,L3,212.0,280.000
52,一号工业园区,L1,277.1,500.000
52,二号商业综合体,L2,326.0,380.000
52,三号居民小区,L3,211.8,280.000
53,一号工业园区,L1,277.1,500.000
53,二号商业综合体,L2,326.0,380.000
53,三号居民小区,L3,211.8,280.000
54,一号工业园区,L1,277.2,500.000
54,二号商业综合体,L2,326.2,380.000
54,三号居民小区,L3,211.9,280.000
55,一号工业园区,L1,277.6,500.000
55,二号商业综合体,L2,326.6,380.000
55,三号居民小区,L3,212.2,280.000
56,一号工业园区,L1,278.2,500.000
56,二号商业综合体,L2,327.4,380.000
56,三号居民小区,L3,212.6,280.000
57,一号工业园区,L1,279.2,500.000
57,二号商业综合体,L2,328.4,380.000
57,三号居民小区,L3,213.4,280.000
58,一号工业园区,L1,280.5,500.000
58,二号商业综合体,L2,330.0,380.000
58,三号居民小区,L3,214.4,280.000
59,一号工业园区,L1,282.3,500.000
59,二号商业综合体,L2,332.2,380.000
59,三号居民小区,L3,215.8,280.000
60,一号工业园区,L1,284.7,500.000
60,二号商业综合体,L2,334.9,380.000
60,三号居民小区,L3,217.6,280.000
61,一号工业园区,L1,287.9,500.000
61,二号商业综合体,L2,338.7,380.000
61,三号居民小区,L3,220.0,280.000
62,一号工业园区,L1,291.8,500.000
62,二号商业综合体,L2,343.3,380.000
62,三号居民小区,L3,223.0,280.000
63,一号工业园区,L1,296.5,500.000
63,二号商业综合体,L2,348.9,380.000
63,三号居民小区,L3,226.7,280.000
64,一号工业园区,L1,302.1,500.000
64,二号商业综合体,L2,355.5,380.000
64,三号居民小区,L3,231.0,280.000
65,一号工业园区,L1,308.5,500.000
65,二号商业综合体,L2,363.0,380.000
65,三号居民小区,L3,235.8,280.000
66,一号工业园区,L1,315.6,500.000
66,二号商业综合体,L2,371.3,380.000
66,三号居民小区,L3,241.2,280.000
67,一号工业园区,L1,323.2,500.000
67,二号商业综合体,L2,380.3,380.000
67,三号居民小区,L3,247.1,280.000
68,一号工业园区,L1,336.0,500.000
68,二号商业综合体,L2,395.2,380.000
68,三号居民小区,L3,256.8,280.000
69,一号工业园区,L1,352.4,500.000
69,二号商业综合体,L2,414.5,380.000
69,三号居民小区,L3,269.4,280.000
70,一号工业园区,L1,368.7,500.000
70,二号商业综合体,L2,433.8,380.000
70,三号居民小区,L3,281.8,280.000
71,一号工业园区,L1,384.1,500.000
71,二号商业综合体,L2,451.9,380.000
71,三号居民小区,L3,293.6,280.000
72,一号工业园区,L1,397.8,500.000
72,二号商业综合体,L2,468.0,380.000
72,三号居民小区,L3,304.1,280.000
73,一号工业园区,L1,408.9,500.000
73,二号商业综合体,L2,481.1,380.000
73,三号居民小区,L3,312.6,280.000
74,一号工业园区,L1,416.8,500.000
74,二号商业综合体,L2,490.4,380.000
74,三号居民小区,L3,318.7,280.000
75,一号工业园区,L1,421.0,500.000
75,二号商业综合体,L2,495.3,380.000
75,三号居民小区,L3,321.8,280.000
76,一号工业园区,L1,420.9,500.000
76,二号商业综合体,L2,495.1,380.000
76,三号居民小区,L3,321.7,280.000
77,一号工业园区,L1,416.4,500.000
77,二号商业综合体,L2,489.9,380.000
77,三号居民小区,L3,318.3,280.000
78,一号工业园区,L1,408.0,500.000
78,二号商业综合体,L2,480.0,380.000
78,三号居民小区,L3,311.8,280.000
79,一号工业园区,L1,395.8,500.000
79,二号商业综合体,L2,465.6,380.000
79,三号居民小区,L3,302.5,280.000
80,一号工业园区,L1,380.4,500.000
80,二号商业综合体,L2,447.5,380.000
80,三号居民小区,L3,290.8,280.000
81,一号工业园区,L1,362.6,500.000
81,二号商业综合体,L2,426.7,380.000
81,三号居民小区,L3,277.2,280.000
82,一号工业园区,L1,343.5,500.000
82,二号商业综合体,L2,404.2,380.000
82,三号居民小区,L3,262.6,280.000
83,一号工业园区,L1,325.1,500.000
83,二号商业综合体,L2,382.5,380.000
83,三号居民小区,L3,248.4,280.000
84,一号工业园区,L1,315.0,500.000
84,二号商业综合体,L2,370.6,380.000
84,三号居民小区,L3,240.8,280.000
85,一号工业园区,L1,304.9,500.000
85,二号商业综合体,L2,358.8,380.000
85,三号居民小区,L3,233.1,280.000
86,一号工业园区,L1,295.2,500.000
86,二号商业综合体,L2,347.3,380.000
86,三号居民小区,L3,225.7,280.000
87,一号工业园区,L1,286.1,500.000
87,二号商业综合体,L2,336.6,380.000
87,三号居民小区,L3,218.7,280.000
88,一号工业园区,L1,277.6,500.000
88,二号商业综合体,L2,326.6,380.000
88,三号居民小区,L3,212.3,280.000
89,一号工业园区,L1,270.0,500.000
89,二号商业综合体,L2,317.8,380.000
89,三号居民小区,L3,206.4,280.000
90,一号工业园区,L1,263.4,500.000
90,二号商业综合体,L2,309.9,380.000
90,三号居民小区,L3,201.3,280.000
91,一号工业园区,L1,257.7,500.000
91,二号商业综合体,L2,303.2,380.000
91,三号居民小区,L3,197.0,280.000
92,一号工业园区,L1,252.8,500.000
92,二号商业综合体,L2,297.4,380.000
92,三号居民小区,L3,193.2,280.000
93,一号工业园区,L1,248.7,500.000
93,二号商业综合体,L2,292.6,380.000
93,三号居民小区,L3,190.2,280.000
94,一号工业园区,L1,245.5,500.000
94,二号商业综合体,L2,288.8,380.000
94,三号居民小区,L3,187.7,280.000
95,一号工业园区,L1,242.9,500.000
95,二号商业综合体,L2,285.7,380.000
95,三号居民小区,L3,185.7,280.000
96,一号工业园区,L1,240.8,500.000
96,二号商业综合体,L2,283.3,380.000
96,三号居民小区,L3,184.0,280.000
