period,用户名称,用户编号,P1(MW),C1(元/MWh),P2(MW),C2(元/MWh),P3(MW),C3(元/MWh),P4(MW),C4(元/MWh),P5(MW),C5(元/MWh),P6(MW),C6(元/MWh),P7(MW),C7(元/MWh),P8(MW),C8(元/MWh),P9(MW),C9(元/MWh),P10(MW),C10(元/MWh)
1,一号线缆厂,U1,68.5,497.8,53.9,377.8,,,,,,,,,,,,,,,,
1,二号钢厂,U2,77.8,467.8,66.2,327.8,,,,,,,,,,,,,,,,
1,三号商业用户,U3,46.8,427.8,46.8,277.8,,,,,,,,,,,,,,,,
2,一号线缆厂,U1,67.6,497.6,53.1,377.6,,,,,,,,,,,,,,,,
2,二号钢厂,U2,76.7,467.6,65.3,327.6,,,,,,,,,,,,,,,,
2,三号商业用户,U3,46.1,427.6,46.2,277.6,,,,,,,,,,,,,,,,
3,一号线缆厂,U1,66.6,497.5,52.4,377.5,,,,,,,,,,,,,,,,
3,二号钢厂,U2,75.6,467.5,64.4,327.5,,,,,,,,,,,,,,,,
3,三号商业用户,U3,45.5,427.5,45.5,277.5,,,,,,,,,,,,,,,,
4,一号线缆厂,U1,65.7,497.4,51.6,377.4,,,,,,,,,,,,,,,,
4,二号钢厂,U2,74.5,467.4,63.5,327.4,,,,,,,,,,,,,,,,
4,三号商业用户,U3,44.9,427.4,44.8,277.4,,,,,,,,,,,,,,,,
5,一号线缆厂,U1,64.7,497.2,50.9,377.2,,,,,,,,,,,,,,,,
5,二号钢厂,U2,73.4,467.2,62.6,327.2,,,,,,,,,,,,,,,,
5,三号商业用户,U3,44.2,427.2,44.2,277.2,,,,,,,,,,,,,,,,
6,一号线缆厂,U1,64.0,497.2,50.3,377.2,,,,,,,,,,,,,,,,
6,二号钢厂,U2,72.6,467.2,61.9,327.2,,,,,,,,,,,,,,,,
6,三号商业用户,U3,43.7,427.2,43.7,277.2,,,,,,,,,,,,,,,,
7,一号线缆厂,U1,63.3,497.1,49.8,377.1,,,,,,,,,,,,,,,,
7,二号钢厂,U2,71.8,467.1,61.2,327.1,,,,,,,,,,,,,,,,
7,三号商业用户,U3,43.2,427.1,43.2,277.1,,,,,,,,,,,,,,,,
8,一号线缆厂,U1,62.6,497.0,49.2,377.0,,,,,,,,,,,,,,,,
8,二号钢厂,U2,71.0,467.0,60.5,327.0,,,,,,,,,,,,,,,,
8,三号商业用户,U3,42.8,427.0,42.7,277.0,,,,,,,,,,,,,,,,
9,一号线缆厂,U1,61.9,496.9,48.6,376.9,,,,,,,,,,,,,,,,
9,二号钢厂,U2,70.2,466.9,59.8,326.9,,,,,,,,,,,,,,,,
9,三号商业用户,U3,42.2,426.9,42.3,276.9,,,,,,,,,,,,,,,,
10,一号线缆厂,U1,61.7,496.8,48.4,376.8,,,,,,,,,,,,,,,,
10,二号钢厂,U2,69.9,466.8,59.6,326.8,,,,,,,,,,,,,,,,
10,三号商业用户,U3,42.1,426.8,42.1,276.8,,,,,,,,,,,,,,,,
11,一号线缆厂,U1,61.4,496.8,48.3,376.8,,,,,,,,,,,,,,,,
11,二号钢厂,U2,69.7,466.8,59.3,326.8,,,,,,,,,,,,,,,,
11,三号商业用户,U3,41.9,426.8,41.9,276.8,,,,,,,,,,,,,,,,
12,一号线缆厂,U1,61.2,496.8,48.0,376.8,,,,,,,,,,,,,,,,
12,二号钢厂,U2,69.4,466.8,59.1,326.8,,,,,,,,,,,,,,,,
12,三号商业用户,U3,41.8,426.8,41.7,276.8,,,,,,,,,,,,,,,,
13,一号线缆厂,U1,60.9,496.8,47.9,376.8,,,,,,,,,,,,,,,,
13,二号钢厂,U2,69.1,466.8,58.9,326.8,,,,,,,,,,,,,,,,
13,三号商业用户,U3,41.6,426.8,41.6,276.8,,,,,,,,,,,,,,,,
14,一号线缆厂,U1,61.4,496.8,48.3,376.8,,,,,,,,,,,,,,,,
14,二号钢厂,U2,69.7,466.8,59.3,326.8,,,,,,,,,,,,,,,,
14,三号商业用户,U3,41.9,426.8,41.9,276.8,,,,,,,,,,,,,,,,
15,一号线缆厂,U1,61.9,496.9,48.6,376.9,,,,,,,,,,,,,,,,
15,二号钢厂,U2,70.2,466.9,59.8,326.9,,,,,,,,,,,,,,,,
15,三号商业用户,U3,42.2,426.9,42.3,276.9,,,,,,,,,,,,,,,,
16,一号线缆厂,U1,62.4,496.9,49.0,376.9,,,,,,,,,,,,,,,,
16,二号钢厂,U2,70.7,466.9,60.3,326.9,,,,,,,,,,,,,,,,
16,三号商业用户,U3,42.5,426.9,42.6,276.9,,,,,,,,,,,,,,,,
17,一号线缆厂,U1,62.8,497.0,49.4,377.0,,,,,,,,,,,,,,,,
17,二号钢厂,U2,71.3,467.0,60.7,327.0,,,,,,,,,,,,,,,,
17,三号商业用户,U3,42.9,427.0,42.9,277.0,,,,,,,,,,,,,,,,
18,一号线缆厂,U1,64.3,497.2,50.5,377.2,,,,,,,,,,,,,,,,
18,二号钢厂,U2,72.9,467.2,62.1,327.2,,,,,,,,,,,,,,,,
18,三号商业用户,U3,43.9,427.2,43.8,277.2,,,,,,,,,,,,,,,,
19,一号线缆厂,U1,65.7,497.4,51.6,377.4,,,,,,,,,,,,,,,,
19,二号钢厂,U2,74.5,467.4,63.5,327.4,,,,,,,,,,,,,,,,
19,三号商业用户,U3,44.9,427.4,44.8,277.4,,,,,,,,,,,,,,,,
20,一号线缆厂,U1,67.1,497.6,52.8,377.6,,,,,,,,,,,,,,,,
20,二号钢厂,U2,76.1,467.6,64.9,327.6,,,,,,,,,,,,,,,,
20,三号商业用户,U3,45.8,427.6,45.8,277.6,,,,,,,,,,,,,,,,
21,一号线缆厂,U1,68.5,497.8,53.9,377.8,,,,,,,,,,,,,,,,
21,二号钢厂,U2,77.8,467.8,66.2,327.8,,,,,,,,,,,,,,,,
21,三号商业用户,U3,46.8,427.8,46.8,277.8,,,,,,,,,,,,,,,,
22,一号线缆厂,U1,71.0,498.1,55.7,378.1,,,,,,,,,,,,,,,,
22,二号钢厂,U2,80.5,468.1,68.5,328.1,,,,,,,,,,,,,,,,
22,三号商业用户,U3,48.4,428.1,48.4,278.1,,,,,,,,,,,,,,,,
23,一号线缆厂,U1,73.3,498.4,57.6,378.4,,,,,,,,,,,,,,,,
23,二号钢厂,U2,83.2,468.4,70.8,328.4,,,,,,,,,,,,,,,,
23,三号商业用户,U3,50.0,428.4,50.1,278.4,,,,,,,,,,,,,,,,
24,一号线缆厂,U1,75.7,498.7,59.5,378.7,,,,,,,,,,,,,,,,
24,二号钢厂,U2,85.9,468.7,73.1,328.7,,,,,,,,,,,,,,,,
24,三号商业用户,U3,51.6,428.7,51.7,278.7,,,,,,,,,,,,,,,,
25,一号线缆厂,U1,78.1,499.0,61.3,379.0,,,,,,,,,,,,,,,,
25,二号钢厂,U2,88.6,469.0,75.4,329.0,,,,,,,,,,,,,,,,
25,三号商业用户,U3,53.3,429.0,53.3,279.0,,,,,,,,,,,,,,,,
26,一号线缆厂,U1,80.2,499.3,63.0,379.3,,,,,,,,,,,,,,,,
26,二号钢厂,U2,91.0,469.3,77.5,329.3,,,,,,,,,,,,,,,,
26,三号商业用户,U3,54.8,429.3,54.7,279.3,,,,,,,,,,,,,,,,
27,一号线缆厂,U1,82.4,499.6,64.7,379.6,,,,,,,,,,,,,,,,
27,二号钢厂,U2,93.4,469.6,79.6,329.6,,,,,,,,,,,,,,,,
27,三号商业用户,U3,56.2,429.6,56.2,279.6,,,,,,,,,,,,,,,,
28,一号线缆厂,U1,84.5,499.8,66.4,379.8,,,,,,,,,,,,,,,,
28,二号钢厂,U2,95.9,469.8,81.6,329.8,,,,,,,,,,,,,,,,
28,三号商业用户,U3,57.7,429.8,57.7,279.8,,,,,,,,,,,,,,,,
29,一号线缆厂,U1,86.6,500.1,68.1,380.1,,,,,,,,,,,,,,,,
29,二号钢厂,U2,98.3,470.1,83.7,330.1,,,,,,,,,,,,,,,,
29,三号商业用户,U3,59.1,430.1,59.2,280.1,,,,,,,,,,,,,,,,
30,一号线缆厂,U1,88.3,500.3,69.4,380.3,,,,,,,,,,,,,,,,
30,二号钢厂,U2,100.2,470.3,85.3,330.3,,,,,,,,,,,,,,,,
30,三号商业用户,U3,60.3,430.3,60.3,280.3,,,,,,,,,,,,,,,,
31,一号线缆厂,U1,90.0,500.6,70.7,380.6,,,,,,,,,,,,,,,,
31,二号钢厂,U2,102.1,470.6,86.9,330.6,,,,,,,,,,,,,,,,
31,三号商业用户,U3,61.4,430.6,61.4,280.6,,,,,,,,,,,,,,,,
32,一号线缆厂,U1,91.6,500.8,72.0,380.8,,,,,,,,,,,,,,,,
32,二号钢厂,U2,104.0,470.8,88.5,330.8,,,,,,,,,,,,,,,,
32,三号商业用户,U3,62.5,430.8,62.6,280.8,,,,,,,,,,,,,,,,
33,一号线缆厂,U1,93.3,501.0,73.3,381.0,,,,,,,,,,,,,,,,
33,二号钢厂,U2,105.8,471.0,90.2,331.0,,,,,,,,,,,,,,,,
33,三号商业用户,U3,63.7,431.0,63.7,281.0,,,,,,,,,,,,,,,,
34,一号线缆厂,U1,94.2,501.1,74.1,381.1,,,,,,,,,,,,,,,,
34,二号钢厂,U2,106.9,471.1,91.1,331.1,,,,,,,,,,,,,,,,
34,三号商业用户,U3,64.3,431.1,64.4,281.1,,,,,,,,,,,,,,,,
35,一号线缆厂,U1,95.2,501.2,74.8,381.2,,,,,,,,,,,,,,,,
35,二号钢厂,U2,108.0,471.2,92.0,331.2,,,,,,,,,,,,,,,,
35,三号商业用户,U3,65.0,431.2,65.0,281.2,,,,,,,,,,,,,,,,
36,一号线缆厂,U1,96.2,501.4,75.5,381.4,,,,,,,,,,,,,,,,
36,二号钢厂,U2,109.1,471.4,92.9,331.4,,,,,,,,,,,,,,,,
36,三号商业用户,U3,65.7,431.4,65.6,281.4,,,,,,,,,,,,,,,,
37,一号线缆厂,U1,97.1,501.5,76.3,381.5,,,,,,,,,,,,,,,,
37,二号钢厂,U2,110.2,471.5,93.8,331.5,,,,,,,,,,,,,,,,
37,三号商业用户,U3,66.3,431.5,66.3,281.5,,,,,,,,,,,,,,,,
38,一号线缆厂,U1,96.7,501.4,75.9,381.4,,,,,,,,,,,,,,,,
38,二号钢厂,U2,109.6,471.4,93.4,331.4,,,,,,,,,,,,,,,,
38,三号商业用户,U3,66.0,431.4,65.9,281.4,,,,,,,,,,,,,,,,
39,一号线缆厂,U1,96.2,501.4,75.5,381.4,,,,,,,,,,,,,,,,
39,二号钢厂,U2,109.1,471.4,92.9,331.4,,,,,,,,,,,,,,,,
39,三号商业用户,U3,65.7,431.4,65.6,281.4,,,,,,,,,,,,,,,,
40,一号线缆厂,U1,95.7,501.3,75.2,381.3,,,,,,,,,,,,,,,,
40,二号钢厂,U2,108.5,471.3,92.5,331.3,,,,,,,,,,,,,,,,
40,三号商业用户,U3,65.3,431.3,65.3,281.3,,,,,,,,,,,,,,,,
41,一号线缆厂,U1,95.2,501.2,74.8,381.2,,,,,,,,,,,,,,,,
41,二号钢厂,U2,108.0,471.2,92.0,331.2,,,,,,,,,,,,,,,,
41,三号商业用户,U3,65.0,431.2,65.0,281.2,,,,,,,,,,,,,,,,
42,一号线缆厂,U1,94.5,501.2,74.2,381.2,,,,,,,,,,,,,,,,
42,二号钢厂,U2,107.2,471.2,91.3,331.2,,,,,,,,,,,,,,,,
42,三号商业用户,U3,64.5,431.2,64.5,281.2,,,,,,,,,,,,,,,,
43,一号线缆厂,U1,93.8,501.1,73.7,381.1,,,,,,,,,,,,,,,,
43,二号钢厂,U2,106.4,471.1,90.6,331.1,,,,,,,,,,,,,,,,
43,三号商业用户,U3,64.0,431.1,64.0,281.1,,,,,,,,,,,,,,,,
44,一号线缆厂,U1,93.1,501.0,73.1,381.0,,,,,,,,,,,,,,,,
44,二号钢厂,U2,105.6,471.0,89.9,331.0,,,,,,,,,,,,,,,,
44,三号商业用户,U3,63.5,431.0,63.6,281.0,,,,,,,,,,,,,,,,
45,一号线缆厂,U1,92.3,500.9,72.6,380.9,,,,,,,,,,,,,,,,
45,二号钢厂,U2,104.8,470.9,89.2,330.9,,,,,,,,,,,,,,,,
45,三号商业用户,U3,63.0,430.9,63.1,280.9,,,,,,,,,,,,,,,,
46,一号线缆厂,U1,91.6,500.8,72.0,380.8,,,,,,,,,,,,,,,,
46,二号钢厂,U2,104.0,470.8,88.5,330.8,,,,,,,,,,,,,,,,
46,三号商业用户,U3,62.5,430.8,62.6,280.8,,,,,,,,,,,,,,,,
47,一号线缆厂,U1,90.9,500.7,71.5,380.7,,,,,,,,,,,,,,,,
47,二号钢厂,U2,103.1,470.7,87.9,330.7,,,,,,,,,,,,,,,,
47,三号商业用户,U3,62.0,430.7,62.1,280.7,,,,,,,,,,,,,,,,
48,一号线缆厂,U1,90.2,500.6,70.9,380.6,,,,,,,,,,,,,,,,
48,二号钢厂,U2,102.3,470.6,87.2,330.6,,,,,,,,,,,,,,,,
48,三号商业用户,U3,61.6,430.6,61.6,280.6,,,,,,,,,,,,,,,,
49,一号线缆厂,U1,89.5,500.5,70.3,380.5,,,,,,,,,,,,,,,,
49,二号钢厂,U2,101.5,470.5,86.5,330.5,,,,,,,,,,,,,,,,
49,三号商业用户,U3,61.1,430.5,61.1,280.5,,,,,,,,,,,,,,,,
50,一号线缆厂,U1,89.3,500.5,70.1,380.5,,,,,,,,,,,,,,,,
50,二号钢厂,U2,101.2,470.5,86.3,330.5,,,,,,,,,,,,,,,,
50,三号商业用户,U3,61.0,430.5,60.9,280.5,,,,,,,,,,,,,,,,
51,一号线缆厂,U1,89.0,500.4,70.0,380.4,,,,,,,,,,,,,,,,
51,二号钢厂,U2,101.0,470.4,86.0,330.4,,,,,,,,,,,,,,,,
51,三号商业用户,U3,60.8,430.4,60.7,280.4,,,,,,,,,,,,,,,,
52,一号线缆厂,U1,88.8,500.4,69.7,380.4,,,,,,,,,,,,,,,,
52,二号钢厂,U2,100.7,470.4,85.8,330.4,,,,,,,,,,,,,,,,
52,三号商业用户,U3,60.6,430.4,60.6,280.4,,,,,,,,,,,,,,,,
53,一号线缆厂,U1,88.5,500.4,69.6,380.4,,,,,,,,,,,,,,,,
53,二号钢厂,U2,100.4,470.4,85.6,330.4,,,,,,,,,,,,,,,,
53,三号商业用户,U3,60.5,430.4,60.4,280.4,,,,,,,,,,,,,,,,
54,一号线缆厂,U1,89.0,500.4,70.0,380.4,,,,,,,,,,,,,,,,
54,二号钢厂,U2,101.0,470.4,86.0,330.4,,,,,,,,,,,,,,,,
54,三号商业用户,U3,60.8,430.4,60.7,280.4,,,,,,,,,,,,,,,,
55,一号线缆厂,U1,89.5,500.5,70.3,380.5,,,,,,,,,,,,,,,,
55,二号钢厂,U2,101.5,470.5,86.5,330.5,,,,,,,,,,,,,,,,
55,三号商业用户,U3,61.1,430.5,61.1,280.5,,,,,,,,,,,,,,,,
56,一号线缆厂,U1,90.0,500.6,70.7,380.6,,,,,,,,,,,,,,,,
56,二号钢厂,U2,102.1,470.6,86.9,330.6,,,,,,,,,,,,,,,,
56,三号商业用户,U3,61.4,430.6,61.4,280.6,,,,,,,,,,,,,,,,
57,一号线缆厂,U1,90.4,500.6,71.1,380.6,,,,,,,,,,,,,,,,
57,二号钢厂,U2,102.6,470.6,87.4,330.6,,,,,,,,,,,,,,,,
57,三号商业用户,U3,61.8,430.6,61.7,280.6,,,,,,,,,,,,,,,,
58,一号线缆厂,U1,91.6,500.8,72.0,380.8,,,,,,,,,,,,,,,,
58,二号钢厂,U2,104.0,470.8,88.5,330.8,,,,,,,,,,,,,,,,
58,三号商业用户,U3,62.5,430.8,62.6,280.8,,,,,,,,,,,,,,,,
59,一号线缆厂,U1,92.8,500.9,73.0,380.9,,,,,,,,,,,,,,,,
59,二号钢厂,U2,105.3,470.9,89.7,330.9,,,,,,,,,,,,,,,,
59,三号商业用户,U3,63.4,430.9,63.3,280.9,,,,,,,,,,,,,,,,
60,一号线缆厂,U1,94.0,501.1,73.9,381.1,,,,,,,,,,,,,,,,
60,二号钢厂,U2,106.7,471.1,90.8,331.1,,,,,,,,,,,,,,,,
60,三号商业用户,U3,64.2,431.1,64.2,281.1,,,,,,,,,,,,,,,,
61,一号线缆厂,U1,95.2,501.2,74.8,381.2,,,,,,,,,,,,,,,,
61,二号钢厂,U2,108.0,471.2,92.0,331.2,,,,,,,,,,,,,,,,
61,三号商业用户,U3,65.0,431.2,65.0,281.2,,,,,,,,,,,,,,,,
62,一号线缆厂,U1,96.7,501.4,75.9,381.4,,,,,,,,,,,,,,,,
62,二号钢厂,U2,109.6,471.4,93.4,331.4,,,,,,,,,,,,,,,,
62,三号商业用户,U3,66.0,431.4,65.9,281.4,,,,,,,,,,,,,,,,
63,一号线缆厂,U1,98.1,501.6,77.0,381.6,,,,,,,,,,,,,,,,
63,二号钢厂,U2,111.2,471.6,94.8,331.6,,,,,,,,,,,,,,,,
63,三号商业用户,U3,67.0,431.6,66.9,281.6,,,,,,,,,,,,,,,,
64,一号线缆厂,U1,99.5,501.8,78.2,381.8,,,,,,,,,,,,,,,,
64,二号钢厂,U2,112.9,471.8,96.1,331.8,,,,,,,,,,,,,,,,
64,三号商业用户,U3,67.9,431.8,67.9,281.8,,,,,,,,,,,,,,,,
65,一号线缆厂,U1,100.9,502.0,79.3,382.0,,,,,,,,,,,,,,,,
65,二号钢厂,U2,114.5,472.0,97.5,332.0,,,,,,,,,,,,,,,,
65,三号商业用户,U3,68.9,432.0,68.9,282.0,,,,,,,,,,,,,,,,
66,一号线缆厂,U1,102.4,502.2,80.4,382.2,,,,,,,,,,,,,,,,
66,二号钢厂,U2,116.1,472.2,98.9,332.2,,,,,,,,,,,,,,,,
66,三号商业用户,U3,69.8,432.2,69.9,282.2,,,,,,,,,,,,,,,,
67,一号线缆厂,U1,103.8,502.4,81.5,382.4,,,,,,,,,,,,,,,,
67,二号钢厂,U2,117.7,472.4,100.3,332.4,,,,,,,,,,,,,,,,
67,三号商业用户,U3,70.8,432.4,70.9,282.4,,,,,,,,,,,,,,,,
68,一号线缆厂,U1,105.2,502.6,82.7,382.6,,,,,,,,,,,,,,,,
68,二号钢厂,U2,119.3,472.6,101.7,332.6,,,,,,,,,,,,,,,,
68,三号商业用户,U3,71.8,432.6,71.8,282.6,,,,,,,,,,,,,,,,
69,一号线缆厂,U1,106.6,502.8,83.8,382.8,,,,,,,,,,,,,,,,
69,二号钢厂,U2,121.0,472.8,103.0,332.8,,,,,,,,,,,,,,,,
69,三号商业用户,U3,72.8,432.8,72.8,282.8,,,,,,,,,,,,,,,,
70,一号线缆厂,U1,107.4,502.8,84.3,382.8,,,,,,,,,,,,,,,,
70,二号钢厂,U2,121.8,472.8,103.7,332.8,,,,,,,,,,,,,,,,
70,三号商业用户,U3,73.3,432.8,73.3,282.8,,,,,,,,,,,,,,,,
71,一号线缆厂,U1,108.1,502.9,84.9,382.9,,,,,,,,,,,,,,,,
71,二号钢厂,U2,122.6,472.9,104.4,332.9,,,,,,,,,,,,,,,,
71,三号商业用户,U3,73.8,432.9,73.7,282.9,,,,,,,,,,,,,,,,
72,一号线缆厂,U1,108.8,503.0,85.4,383.0,,,,,,,,,,,,,,,,
72,二号钢厂,U2,123.4,473.0,105.1,333.0,,,,,,,,,,,,,,,,
72,三号商业用户,U3,74.2,433.0,74.3,283.0,,,,,,,,,,,,,,,,
73,一号线缆厂,U1,109.5,503.1,86.0,383.1,,,,,,,,,,,,,,,,
73,二号钢厂,U2,124.2,473.1,105.8,333.1,,,,,,,,,,,,,,,,
73,三号商业用户,U3,74.8,433.1,74.7,283.1,,,,,,,,,,,,,,,,
74,一号线缆厂,U1,109.0,503.1,85.7,383.1,,,,,,,,,,,,,,,,
74,二号钢厂,U2,123.7,473.1,105.3,333.1,,,,,,,,,,,,,,,,
74,三号商业用户,U3,74.4,433.1,74.4,283.1,,,,,,,,,,,,,,,,
75,一号线缆厂,U1,108.5,503.0,85.3,383.0,,,,,,,,,,,,,,,,
75,二号钢厂,U2,123.1,473.0,104.9,333.0,,,,,,,,,,,,,,,,
75,三号商业用户,U3,74.1,433.0,74.1,283.0,,,,,,,,,,,,,,,,
76,一号线缆厂,U1,108.1,502.9,84.9,382.9,,,,,,,,,,,,,,,,
76,二号钢厂,U2,122.6,472.9,104.4,332.9,,,,,,,,,,,,,,,,
76,三号商业用户,U3,73.8,432.9,73.7,282.9,,,,,,,,,,,,,,,,
77,一号线缆厂,U1,107.6,502.9,84.5,382.9,,,,,,,,,,,,,,,,
77,二号钢厂,U2,122.0,472.9,104.0,332.9,,,,,,,,,,,,,,,,
77,三号商业用户,U3,73.5,432.9,73.4,282.9,,,,,,,,,,,,,,,,
78,一号线缆厂,U1,106.4,502.7,83.6,382.7,,,,,,,,,,,,,,,,
78,二号钢厂,U2,120.7,472.7,102.8,332.7,,,,,,,,,,,,,,,,
78,三号商业用户,U3,72.7,432.7,72.6,282.7,,,,,,,,,,,,,,,,
79,一号线缆厂,U1,105.2,502.6,82.7,382.6,,,,,,,,,,,,,,,,
79,二号钢厂,U2,119.3,472.6,101.7,332.6,,,,,,,,,,,,,,,,
79,三号商业用户,U3,71.8,432.6,71.8,282.6,,,,,,,,,,,,,,,,
80,一号线缆厂,U1,104.0,502.4,81.7,382.4,,,,,,,,,,,,,,,,
80,二号钢厂,U2,118.0,472.4,100.5,332.4,,,,,,,,,,,,,,,,
80,三号商业用户,U3,71.0,432.4,71.0,282.4,,,,,,,,,,,,,,,,
81,一号线缆厂,U1,102.8,502.2,80.8,382.2,,,,,,,,,,,,,,,,
81,二号钢厂,U2,116.6,472.2,99.4,332.2,,,,,,,,,,,,,,,,
81,三号商业用户,U3,70.2,432.2,70.2,282.2,,,,,,,,,,,,,,,,
82,一号线缆厂,U1,100.9,502.0,79.3,382.0,,,,,,,,,,,,,,,,
82,二号钢厂,U2,114.5,472.0,97.5,332.0,,,,,,,,,,,,,,,,
82,三号商业用户,U3,68.9,432.0,68.9,282.0,,,,,,,,,,,,,,,,
83,一号线缆厂,U1,99.0,501.8,77.8,381.8,,,,,,,,,,,,,,,,
83,二号钢厂,U2,112.3,471.8,95.7,331.8,,,,,,,,,,,,,,,,
83,三号商业用户,U3,67.6,431.8,67.6,281.8,,,,,,,,,,,,,,,,
84,一号线缆厂,U1,97.1,501.5,76.3,381.5,,,,,,,,,,,,,,,,
