period,电厂名称,机组编号,第1段出力(MW),第1段报价(元/MWh),第2段出力(MW),第2段报价(元/MWh),第3段出力(MW),第3段报价(元/MWh)
1,金陵电厂,#1机组,150.0,150.000,90.0,180.000,0.0,220.000
1,金陵电厂,#2机组,120.0,170.000,105.1,210.000,,
1,龙潭电厂,#1机组,100.0,190.000,0.0,240.000,,
1,龙潭电厂,#2机组,0.0,230.000,,,,
1,龙潭电厂,#3机组,0.0,260.000,,,,
2,金陵电厂,#1机组,150.0,150.000,90.0,180.000,0.0,220.000
2,金陵电厂,#2机组,120.0,170.000,103.3,210.000,,
2,龙潭电厂,#1机组,100.0,190.000,0.0,240.000,,
2,龙潭电厂,#2机组,0.0,230.000,,,,
2,龙潭电厂,#3机组,0.0,260.000,,,,
3,金陵电厂,#1机组,150.0,150.000,90.0,180.000,0.0,220.000
3,金陵电厂,#2机组,120.0,170.000,101.1,210.000,,
3,龙潭电厂,#1机组,100.0,190.000,0.0,240.000,,
3,龙潭电厂,#2机组,0.0,230.000,,,,
3,龙潭电厂,#3机组,0.0,260.000,,,,
4,金陵电厂,#1机组,150.0,150.000,90.0,180.000,0.0,220.000
4,金陵电厂,#2机组,120.0,170.000,99.2,210.000,,
4,龙潭电厂,#1机组,100.0,190.000,0.0,240.000,,
4,龙潭电厂,#2机组,0.0,230.000,,,,
4,龙潭电厂,#3机组,0.0,260.000,,,,
5,金陵电厂,#1机组,150.0,150.000,90.0,180.000,0.0,220.000
5,金陵电厂,#2机组,120.0,170.000,97.1,210.000,,
5,龙潭电厂,#1机组,100.0,190.000,0.0,240.000,,
5,龙潭电厂,#2机组,0.0,230.000,,,,
5,龙潭电厂,#3机组,0.0,260.000,,,,
6,金陵电厂,#1机组,150.0,150.000,90.0,180.000,0.0,220.000
6,金陵电厂,#2机组,120.0,170.000,95.2,210.000,,
6,龙潭电厂,#1机组,100.0,190.000,0.0,240.000,,
6,龙潭电厂,#2机组,0.0,230.000,,,,
6,龙潭电厂,#3机组,0.0,260.000,,,,
7,金陵电厂,#1机组,150.0,150.000,90.0,180.000,0.0,220.000
7,金陵电厂,#2机组,120.0,170.000,93.4,210.000,,
7,龙潭电厂,#1机组,100.0,190.000,0.0,240.000,,
7,龙潭电厂,#2机组,0.0,230.000,,,,
7,龙潭电厂,#3机组,0.0,260.000,,,,
8,金陵电厂,#1机组,150.0,150.000,90.0,180.000,0.0,220.000
8,金陵电厂,#2机组,120.0,170.000,92.2,210.000,,
8,龙潭电厂,#1机组,100.0,190.000,0.0,240.000,,
8,龙潭电厂,#2机组,0.0,230.000,,,,
8,龙潭电厂,#3机组,0.0,260.000,,,,
9,金陵电厂,#1机组,150.0,150.000,90.0,180.000,0.0,220.000
9,金陵电厂,#2机组,120.0,170.000,91.2,210.000,,
9,龙潭电厂,#1机组,100.0,190.000,0.0,240.000,,
9,龙潭电厂,#2机组,0.0,230.000,,,,
9,龙潭电厂,#3机组,0.0,260.000,,,,
10,金陵电厂,#1机组,150.0,150.000,90.0,180.000,0.0,220.000
10,金陵电厂,#2机组,120.0,170.000,90.7,210.000,,
10,龙潭电厂,#1机组,100.0,190.000,0.0,240.000,,
10,龙潭电厂,#2机组,0.0,230.000,,,,
10,龙潭电厂,#3机组,0.0,260.000,,,,
11,金陵电厂,#1机组,150.0,150.000,90.0,180.000,0.0,220.000
11,金陵电厂,#2机组,120.0,170.000,91.0,210.000,,
11,龙潭电厂,#1机组,100.0,190.000,0.0,240.000,,
11,龙潭电厂,#2机组,0.0,230.000,,,,
11,龙潭电厂,#3机组,0.0,260.000,,,,
12,金陵电厂,#1机组,150.0,150.000,90.0,180.000,0.0,220.000
12,金陵电厂,#2机组,120.0,170.000,92.2,210.000,,
12,龙潭电厂,#1机组,100.0,190.000,0.0,240.000,,
12,龙潭电厂,#2机组,0.0,230.000,,,,
12,龙潭电厂,#3机组,0.0,260.000,,,,
13,金陵电厂,#1机组,150.0,150.000,90.0,180.000,0.0,220.000
13,金陵电厂,#2机组,120.0,170.000,94.6,210.000,,
13,龙潭电厂,#1机组,100.0,190.000,0.0,240.000,,
13,龙潭电厂,#2机组,0.0,230.000,,,,
13,龙潭电厂,#3机组,0.0,260.000,,,,
14,金陵电厂,#1机组,150.0,150.000,90.0,180.000,0.0,220.000
14,金陵电厂,#2机组,120.0,170.000,98.1,210.000,,
14,龙潭电厂,#1机组,100.0,190.000,0.0,240.000,,
14,龙潭电厂,#2机组,0.0,230.000,,,,
14,龙潭电厂,#3机组,0.0,260.000,,,,
15,金陵电厂,#1机组,150.0,150.000,90.0,180.000,0.0,220.000
15,金陵电厂,#2机组,120.0,170.000,103.2,210.000,,
15,龙潭电厂,#1机组,100.0,190.000,0.0,240.000,,
15,龙潭电厂,#2机组,0.0,230.000,,,,
15,龙潭电厂,#3机组,0.0,260.000,,,,
16,金陵电厂,#1机组,150.0,150.000,90.0,180.000,0.0,220.000
16,金陵电厂,#2机组,120.0,170.000,109.9,210.000,,
