period,电厂名称,机组编号,机组类型,P1(MW),C1(元/MWh),P2(MW),C2(元/MWh),P3(MW),C3(元/MWh),P4(MW),C4(元/MWh),P5(MW),C5(元/MWh),P6(MW),C6(元/MWh),P7(MW),C7(元/MWh),P8(MW),C8(元/MWh),P9(MW),C9(元/MWh),P10(MW),C10(元/MWh)
1,金陵电厂,G1,火电,120.0,181.9,90.0,251.9,60.0,326.9,,,,,,,,,,,,,,
1,江北电厂,G2,火电,101.2,201.9,73.6,271.9,50.6,346.9,,,,,,,,,,,,,,
1,沿海风电场,W1,风电,60.6,0.0,,,,,,,,,,,,,,,,,,
1,城郊光伏站,S1,光伏,0.0,0.0,,,,,,,,,,,,,,,,,,
2,金陵电厂,G1,火电,120.0,181.8,90.0,251.8,60.0,326.8,,,,,,,,,,,,,,
2,江北电厂,G2,火电,101.2,201.8,73.6,271.8,50.6,346.8,,,,,,,,,,,,,,
2,沿海风电场,W1,风电,62.4,0.0,,,,,,,,,,,,,,,,,,
2,城郊光伏站,S1,光伏,0.0,0.0,,,,,,,,,,,,,,,,,,
3,金陵电厂,G1,火电,120.0,181.6,90.0,251.6,60.0,326.6,,,,,,,,,,,,,,
3,江北电厂,G2,火电,101.2,201.6,73.6,271.6,50.6,346.6,,,,,,,,,,,,,,
3,沿海风电场,W1,风电,64.1,0.0,,,,,,,,,,,,,,,,,,
3,城郊光伏站,S1,光伏,0.0,0.0,,,,,,,,,,,,,,,,,,
4,金陵电厂,G1,火电,120.0,181.4,90.0,251.4,60.0,326.4,,,,,,,,,,,,,,
4,江北电厂,G2,火电,101.2,201.4,73.6,271.4,50.6,346.4,,,,,,,,,,,,,,
4,沿海风电场,W1,风电,65.6,0.0,,,,,,,,,,,,,,,,,,
4,城郊光伏站,S1,光伏,0.0,0.0,,,,,,,,,,,,,,,,,,
5,金陵电厂,G1,火电,120.0,181.2,90.0,251.2,60.0,326.2,,,,,,,,,,,,,,
5,江北电厂,G2,火电,101.2,201.2,73.6,271.2,50.6,346.2,,,,,,,,,,,,,,
5,沿海风电场,W1,风电,66.9,0.0,,,,,,,,,,,,,,,,,,
5,城郊光伏站,S1,光伏,0.0,0.0,,,,,,,,,,,,,,,,,,
6,金陵电厂,G1,火电,120.0,181.1,90.0,251.1,60.0,326.1,,,,,,,,,,,,,,
6,江北电厂,G2,火电,101.2,201.1,73.6,271.1,50.6,346.1,,,,,,,,,,,,,,
6,沿海风电场,W1,风电,67.9,0.0,,,,,,,,,,,,,,,,,,
6,城郊光伏站,S1,光伏,0.0,0.0,,,,,,,,,,,,,,,,,,
7,金陵电厂,G1,火电,120.0,181.0,90.0,251.0,60.0,326.0,,,,,,,,,,,,,,
7,江北电厂,G2,火电,101.2,201.0,73.6,271.0,50.6,346.0,,,,,,,,,,,,,,
7,沿海风电场,W1,风电,68.5,0.0,,,,,,,,,,,,,,,,,,
7,城郊光伏站,S1,光伏,0.0,0.0,,,,,,,,,,,,,,,,,,
8,金陵电厂,G1,火电,120.0,180.8,90.0,250.8,60.0,325.8,,,,,,,,,,,,,,
8,江北电厂,G2,火电,101.2,200.8,73.6,270.8,50.6,345.8,,,,,,,,,,,,,,
8,沿海风电场,W1,风电,68.7,0.0,,,,,,,,,,,,,,,,,,
8,城郊光伏站,S1,光伏,0.0,0.0,,,,,,,,,,,,,,,,,,
9,金陵电厂,G1,火电,120.0,180.7,90.0,250.7,60.0,325.7,,,,,,,,,,,,,,
9,江北电厂,G2,火电,101.2,200.7,73.6,270.7,50.6,345.7,,,,,,,,,,,,,,
9,沿海风电场,W1,风电,68.7,0.0,,,,,,,,,,,,,,,,,,
9,城郊光伏站,S1,光伏,0.0,0.0,,,,,,,,,,,,,,,,,,
10,金陵电厂,G1,火电,120.0,180.6,90.0,250.6,60.0,325.6,,,,,,,,,,,,,,
