时段,时刻,负荷(MW)
1,00:15,820.0
2,00:30,790.0
3,00:45,765.0
4,01:00,756.0
5,01:15,747.0
6,01:30,738.0
7,01:45,729.0
8,02:00,720.0
9,02:15,715.0
10,02:30,710.0
11,02:45,705.0
12,03:00,700.0
13,03:15,695.0
14,03:30,690.0
15,03:45,685.0
16,04:00,680.0
17,04:15,682.5
18,04:30,685.0
19,04:45,687.5
20,05:00,690.0
21,05:15,692.5
22,05:30,695.0
23,05:45,697.5
24,06:00,700.0
25,06:15,713.8
26,06:30,727.5
27,06:45,741.2
28,07:00,755.0
29,07:15,768.8
30,07:30,782.5
31,07:45,796.2
32,08:00,810.0
33,08:15,805.0
34,08:30,800.0
35,08:45,795.0
36,09:00,790.0
37,09:15,783.1
38,09:30,776.2
39,09:45,769.4
40,10:00,762.5
41,10:15,755.6
42,10:30,748.8
43,10:45,741.9
44,11:00,735.0
45,11:15,736.9
46,11:30,738.8
47,11:45,740.6
48,12:00,742.5
49,12:15,744.4
50,12:30,746.2
51,12:45,748.1
52,13:00,750.0
53,13:15,753.1
54,13:30,756.2
55,13:45,759.4
56,14:00,762.5
57,14:15,765.6
58,14:30,768.8
59,14:45,771.9
60,15:00,775.0
61,15:15,778.1
62,15:30,781.2
63,15:45,784.4
64,16:00,787.5
65,16:15,790.6
66,16:30,793.8
67,16:45,796.9
68,17:00,800.0
69,17:15,802.5
70,17:30,805.0
71,17:45,807.5
72,18:00,810.0
73,18:15,812.5
74,18:30,815.0
75,18:45,817.5
76,19:00,820.0
77,19:15,816.2
78,19:30,812.5
79,19:45,808.8
80,20:00,805.0
81,20:15,798.8
82,20:30,792.5
83,20:45,786.2
84,21:00,780.0
85,21:15,773.8
86,21:30,767.5
87,21:45,761.2
88,22:00,755.0
89,22:15,748.1
90,22:30,741.2
91,22:45,734.4
92,23:00,727.5
93,23:15,720.6
94,23:30,713.8
95,23:45,706.9
96,24:00,700.0
