period,时刻,系统负荷(MW)
1,00:00,360.0
2,00:15,355.0
3,00:30,350.0
4,00:45,345.0
5,01:00,340.0
6,01:15,336.2
7,01:30,332.5
8,01:45,328.8
9,02:00,325.0
10,02:15,323.8
11,02:30,322.5
12,02:45,321.2
13,03:00,320.0
14,03:15,322.5
15,03:30,325.0
16,03:45,327.5
17,04:00,330.0
18,04:15,337.5
19,04:30,345.0
20,04:45,352.5
21,05:00,360.0
22,05:15,372.5
23,05:30,385.0
24,05:45,397.5
25,06:00,410.0
26,06:15,421.2
27,06:30,432.5
28,06:45,443.8
29,07:00,455.0
30,07:15,463.8
31,07:30,472.5
32,07:45,481.2
33,08:00,490.0
34,08:15,495.0
35,08:30,500.0
36,08:45,505.0
37,09:00,510.0
38,09:15,507.5
39,09:30,505.0
40,09:45,502.5
41,10:00,500.0
42,10:15,496.2
43,10:30,492.5
44,10:45,488.8
45,11:00,485.0
46,11:15,481.2
47,11:30,477.5
48,11:45,473.8
49,12:00,470.0
50,12:15,468.8
51,12:30,467.5
52,12:45,466.2
53,13:00,465.0
54,13:15,467.5
55,13:30,470.0
56,13:45,472.5
57,14:00,475.0
58,14:15,481.2
59,14:30,487.5
60,14:45,493.8
61,15:00,500.0
62,15:15,507.5
63,15:30,515.0
64,15:45,522.5
65,16:00,530.0
66,16:15,537.5
67,16:30,545.0
68,16:45,552.5
69,17:00,560.0
70,17:15,563.8
71,17:30,567.5
72,17:45,571.2
73,18:00,575.0
74,18:15,572.5
75,18:30,570.0
76,18:45,567.5
77,19:00,565.0
78,19:15,558.8
79,19:30,552.5
80,19:45,546.2
81,20:00,540.0
82,20:15,530.0
83,20:30,520.0
84,20:45,510.0
85,21:00,500.0
86,21:15,487.5
87,21:30,475.0
88,21:45,462.5
89,22:00,450.0
90,22:15,437.5
91,22:30,425.0
92,22:45,412.5
93,23:00,400.0
94,23:15,390.0
95,23:30,380.0
96,23:45,370.0
