机组ID,机组类型,时段,出力(MW)
W1,风电,1,35.0
W1,风电,2,38.0
W1,风电,3,38.7
W1,风电,4,39.3
W1,风电,5,40.0
W1,风电,6,40.7
W1,风电,7,41.3
W1,风电,8,42.0
W1,风电,9,42.4
W1,风电,10,42.8
W1,风电,11,43.1
W1,风电,12,43.5
W1,风电,13,43.9
W1,风电,14,44.2
W1,风电,15,44.6
W1,风电,16,45.0
W1,风电,17,44.4
W1,风电,18,43.8
W1,风电,19,43.1
W1,风电,20,42.5
W1,风电,21,41.9
W1,风电,22,41.2
W1,风电,23,40.6
W1,风电,24,40.0
W1,风电,25,39.4
W1,风电,26,38.8
W1,风电,27,38.1
W1,风电,28,37.5
W1,风电,29,36.9
W1,风电,30,36.2
W1,风电,31,35.6
W1,风电,32,35.0
W1,风电,33,34.4
W1,风电,34,33.8
W1,风电,35,33.1
W1,风电,36,32.5
W1,风电,37,31.9
W1,风电,38,31.2
W1,风电,39,30.6
W1,风电,40,30.0
W1,风电,41,30.2
W1,风电,42,30.5
W1,风电,43,30.8
W1,风电,44,31.0
W1,风电,45,31.2
W1,风电,46,31.5
W1,风电,47,31.8
W1,风电,48,32.0
W1,风电,49,33.0
W1,风电,50,34.0
W1,风电,51,35.0
W1,风电,52,36.0
W1,风电,53,37.0
W1,风电,54,38.0
W1,风电,55,39.0
W1,风电,56,40.0
W1,风电,57,41.2
W1,风电,58,42.5
W1,风电,59,43.8
W1,风电,60,45.0
W1,风电,61,46.2
W1,风电,62,47.5
W1,风电,63,48.8
W1,风电,64,50.0
W1,风电,65,51.0
W1,风电,66,52.0
W1,风电,67,53.0
W1,风电,68,54.0
W1,风电,69,55.0
W1,风电,70,56.0
W1,风电,71,57.0
W1,风电,72,58.0
W1,风电,73,57.2
W1,风电,74,56.5
W1,风电,75,55.8
W1,风电,76,55.0
W1,风电,77,54.2
W1,风电,78,53.5
W1,风电,79,52.8
W1,风电,80,52.0
W1,风电,81,51.1
W1,风电,82,50.2
W1,风电,83,49.4
W1,风电,84,48.5
W1,风电,85,47.6
W1,风电,86,46.8
W1,风电,87,45.9
W1,风电,88,45.0
W1,风电,89,44.1
W1,风电,90,43.2
W1,风电,91,42.4
W1,风电,92,41.5
W1,风电,93,40.6
W1,风电,94,39.8
W1,风电,95,38.9
W1,风电,96,38.0
S1,光伏,1,0.0
S1,光伏,2,0.0
S1,光伏,3,0.0
S1,光伏,4,0.0
S1,光伏,5,0.0
S1,光伏,6,0.0
S1,光伏,7,0.0
S1,光伏,8,0.0
S1,光伏,9,0.0
S1,光伏,10,0.0
S1,光伏,11,0.0
S1,光伏,12,0.0
S1,光伏,13,0.0
S1,光伏,14,0.0
S1,光伏,15,0.0
S1,光伏,16,0.0
S1,光伏,17,0.0
S1,光伏,18,0.0
S1,光伏,19,0.0
S1,光伏,20,0.0
S1,光伏,21,0.0
S1,光伏,22,0.0
S1,光伏,23,0.0
S1,光伏,24,0.0
S1,光伏,25,1.0
S1,光伏,26,3.3
S1,光伏,27,5.7
S1,光伏,28,8.0
S1,光伏,29,11.0
S1,光伏,30,14.0
S1,光伏,31,17.0
S1,光伏,32,20.0
S1,光伏,33,23.8
S1,光伏,34,27.5
S1,光伏,35,31.2
S1,光伏,36,35.0
S1,光伏,37,38.2
S1,光伏,38,41.5
S1,光伏,39,44.8
S1,光伏,40,48.0
S1,光伏,41,50.0
S1,光伏,42,52.0
S1,光伏,43,54.0
S1,光伏,44,56.0
S1,光伏,45,57.0
S1,光伏,46,58.0
S1,光伏,47,59.0
S1,光伏,48,60.0
S1,光伏,49,56.0
S1,光伏,50,52.0
S1,光伏,51,50.0
S1,光伏,52,48.0
S1,光伏,53,46.0
S1,光伏,54,44.0
S1,光伏,55,42.0
S1,光伏,56,40.0
S1,光伏,57,37.5
S1,光伏,58,35.0
S1,光伏,59,32.5
S1,光伏,60,30.0
S1,光伏,61,27.0
S1,光伏,62,24.0
S1,光伏,63,21.0
S1,光伏,64,18.0
S1,光伏,65,15.5
S1,光伏,66,13.0
S1,光伏,67,10.5
S1,光伏,68,8.0
S1,光伏,69,6.5
S1,光伏,70,5.0
S1,光伏,71,3.5
S1,光伏,72,2.0
S1,光伏,73,0.0
S1,光伏,74,0.0
S1,光伏,75,0.0
S1,光伏,76,0.0
S1,光伏,77,0.0
S1,光伏,78,0.0
S1,光伏,79,0.0
S1,光伏,80,0.0
S1,光伏,81,0.0
S1,光伏,82,0.0
S1,光伏,83,0.0
S1,光伏,84,0.0
S1,光伏,85,0.0
S1,光伏,86,0.0
S1,光伏,87,0.0
S1,光伏,88,0.0
S1,光伏,89,0.0
S1,光伏,90,0.0
S1,光伏,91,0.0
S1,光伏,92,0.0
S1,光伏,93,0.0
S1,光伏,94,0.0
S1,光伏,95,0.0
S1,光伏,96,0.0
