period,时刻,机组编号,机组名称,机组类型,可用出力(MW)
1,00:00,W1,沿海风电场,风电,76.0
1,00:00,S1,城郊光伏站,光伏,0
2,01:00,W1,沿海风电场,风电,84.5
2,01:00,S1,城郊光伏站,光伏,0
3,02:00,W1,沿海风电场,风电,86.5
3,02:00,S1,城郊光伏站,光伏,0
4,03:00,W1,沿海风电场,风电,81.6
4,03:00,S1,城郊光伏站,光伏,0
5,04:00,W1,沿海风电场,风电,75.9
5,04:00,S1,城郊光伏站,光伏,0
6,05:00,W1,沿海风电场,风电,75.5
6,05:00,S1,城郊光伏站,光伏,0
7,06:00,W1,沿海风电场,风电,80.4
7,06:00,S1,城郊光伏站,光伏,0
8,07:00,W1,沿海风电场,风电,84.5
8,07:00,S1,城郊光伏站,光伏,32.4
9,08:00,W1,沿海风电场,风电,82.1
9,08:00,S1,城郊光伏站,光伏,62.5
10,09:00,W1,沿海风电场,风电,73.1
10,09:00,S1,城郊光伏站,光伏,88.4
11,10:00,W1,沿海风电场,风电,63.9
11,10:00,S1,城郊光伏站,光伏,108.3
12,11:00,W1,沿海风电场,风电,60.8
12,11:00,S1,城郊光伏站,光伏,120.7
13,12:00,W1,沿海风电场,风电,64.0
13,12:00,S1,城郊光伏站,光伏,125.0
14,13:00,W1,沿海风电场,风电,67.6
14,13:00,S1,城郊光伏站,光伏,120.7
15,14:00,W1,沿海风电场,风电,65.7
15,14:00,S1,城郊光伏站,光伏,108.3
16,15:00,W1,沿海风电场,风电,58.4
16,15:00,S1,城郊光伏站,光伏,88.4
17,16:00,W1,沿海风电场,风电,51.9
17,16:00,S1,城郊光伏站,光伏,62.5
18,17:00,W1,沿海风电场,风电,52.3
18,17:00,S1,城郊光伏站,光伏,32.4
19,18:00,W1,沿海风电场,风电,59.6
19,18:00,S1,城郊光伏站,光伏,0
20,19:00,W1,沿海风电场,风电,67.6
20,19:00,S1,城郊光伏站,光伏,0
21,20:00,W1,沿海风电场,风电,70.1
21,20:00,S1,城郊光伏站,光伏,0
22,21:00,W1,沿海风电场,风电,66.9
22,21:00,S1,城郊光伏站,光伏,0
23,22:00,W1,沿海风电场,风电,63.9
23,22:00,S1,城郊光伏站,光伏,0
24,23:00,W1,沿海风电场,风电,67.0
24,23:00,S1,城郊光伏站,光伏,0
