period,用户名称,负荷编号,第1段申报量(MW),第1段报价(元/MWh)
1,一号工业园区,L1,240.2,500.000
1,二号商业综合体,L2,282.6,380.000
1,三号居民小区,L3,183.6,280.000
2,一号工业园区,L1,239.4,500.000
2,二号商业综合体,L2,281.7,380.000
2,三号居民小区,L3,183.0,280.000
3,一号工业园区,L1,238.5,500.000
3,二号商业综合体,L2,280.6,380.000
3,三号居民小区,L3,182.3,280.000
4,一号工业园区,L1,237.7,500.000
4,二号商业综合体,L2,279.6,380.000
4,三号居民小区,L3,181.7,280.000
5,一号工业园区,L1,236.8,500.000
5,二号商业综合体,L2,278.6,380.000
5,三号居民小区,L3,181.0,280.000
6,一号工业园区,L1,236.0,500.000
6,二号商业综合体,L2,277.6,380.000
6,三号居民小区,L3,180.4,280.000
7,一号工业园区,L1,235.2,500.000
7,二号商业综合体,L2,276.8,380.000
7,三号居民小区,L3,179.8,280.000
8,一号工业园区,L1,234.7,500.000
8,二号商业综合体,L2,276.1,380.000
8,三号居民小区,L3,179.4,280.000
9,一号工业园区,L1,234.3,500.000
9,二号商业综合体,L2,275.6,380.000
9,三号居民小区,L3,179.1,280.000
10,一号工业园区,L1,234.1,500.000
10,二号商业综合体,L2,275.4,380.000
10,三号居民小区,L3,178.9,280.000
11,一号工业园区,L1,234.2,500.000
11,二号商业综合体,L2,275.6,380.000
11,三号居民小区,L3,179.0,280.000
12,一号工业园区,L1,234.7,500.000
12,二号商业综合体,L2,276.2,380.000
12,三号居民小区,L3,179.4,280.000
13,一号工业园区,L1,235.7,500.000
13,二号商业综合体,L2,277.3,380.000
13,三号居民小区,L3,180.2,280.000
14,一号工业园区,L1,237.2,500.000
14,二号商业综合体,L2,279.1,380.000
14,三号居民小区,L3,181.3,280.000
15,一号工业园区,L1,239.4,500.000
15,二号商业综合体,L2,281.6,380.000
15,三号居民小区,L3,183.0,280.000
16,一号工业园区,L1,242.2,500.000
16,二号商业综合体,L2,285.0,380.000
16,三号居民小区,L3,185.2,280.000
17,一号工业园区,L1,246.0,500.000
17,二号商业综合体,L2,289.4,380.000
17,三号居民小区,L3,188.1,280.000
18,一号工业园区,L1,250.7,500.000
18,二号商业综合体,L2,295.0,380.000
18,三号居民小区,L3,191.6,280.000
19,一号工业园区,L1,256.5,500.000
19,二号商业综合体,L2,301.8,380.000
19,三号居民小区,L3,196.1,280.000
20,一号工业园区,L1,263.4,500.000
20,二号商业综合体,L2,309.9,380.000
20,三号居民小区,L3,201.3,280.000
21,一号工业园区,L1,271.5,500.000
21,二号商业综合体,L2,319.4,380.000
21,三号居民小区,L3,207.5,280.000
22,一号工业园区,L1,280.6,500.000
22,二号商业综合体,L2,330.2,380.000
22,三号居民小区,L3,214.5,280.000
23,一号工业园区,L1,290.8,500.000
23,二号商业综合体,L2,342.1,380.000
23,三号居民小区,L3,222.3,280.000
24,一号工业园区,L1,301.7,500.000
24,二号商业综合体,L2,355.0,380.000
24,三号居民小区,L3,230.6,280.000
25,一号工业园区,L1,313.1,500.000
25,二号商业综合体,L2,368.4,380.000
25,三号居民小区,L3,239.3,280.000
26,一号工业园区,L1,324.6,500.000
26,二号商业综合体,L2,381.9,380.000
26,三号居民小区,L3,248.1,280.000
27,一号工业园区,L1,335.8,500.000
27,二号商业综合体,L2,395.0,380.000
27,三号居民小区,L3,256.6,280.000
28,一号工业园区,L1,346.1,500.000
28,二号商业综合体,L2,407.1,380.000
28,三号居民小区,L3,264.5,280.000
29,一号工业园区,L1,355.1,500.000
29,二号商业综合体,L2,417.7,380.000
29,三号居民小区,L3,271.4,280.000
30,一号工业园区,L1,362.3,500.000
30,二号商业综合体,L2,426.2,380.000
30,三号居民小区,L3,276.9,280.000
31,一号工业园区,L1,367.4,500.000
31,二号商业综合体,L2,432.3,380.000
31,三号居民小区,L3,280.9,280.000
32,一号工业园区,L1,370.3,500.000
32,二号商业综合体,L2,435.6,380.000
32,三号居民小区,L3,283.0,280.000
33,一号工业园区,L1,370.7,500.000
33,二号商业综合体,L2,436.1,380.000
33,三号居民小区,L3,283.4,280.000
34,一号工业园区,L1,368.8,500.000
34,二号商业综合体,L2,433.9,380.000
34,三号居民小区,L3,281.9,280.000
35,一号工业园区,L1,364.9,500.000
35,二号商业综合体,L2,429.3,380.000
35,三号居民小区,L3,278.9,280.000
36,一号工业园区,L1,359.2,500.000
36,二号商业综合体,L2,422.6,380.000
36,三号居民小区,L3,274.6,280.000
37,一号工业园区,L1,352.2,500.000
37,二号商业综合体,L2,414.4,380.000
37,三号居民小区,L3,269.2,280.000
38,一号工业园区,L1,344.4,500.000
38,二号商业综合体,L2,405.2,380.000
38,三号居民小区,L3,263.2,280.000
39,一号工业园区,L1,336.2,500.000
39,二号商业综合体,L2,395.6,380.000
39,三号居民小区,L3,257.0,280.000
40,一号工业园区,L1,328.1,500.000
40,二号商业综合体,L2,386.0,380.000
40,三号居民小区,L3,250.8,280.000
