period,电厂名称,机组编号,第1段出力(MW),第1段报价(元/MWh),第2段出力(MW),第2段报价(元/MWh),第3段出力(MW),第3段报价(元/MWh)
1,金陵电厂,#1机组,150.0,270.000,90.0,300.000,0.0,350.000
1,金陵电厂,#2机组,120.0,290.000,105.1,330.000,,
1,龙潭电厂,#1机组,100.0,320.000,0.0,390.000,,
1,龙潭电厂,#2机组,0.0,370.000,,,,
1,龙潭电厂,#3机组,0.0,410.000,,,,
2,金陵电厂,#1机组,150.0,270.000,90.0,300.000,0.0,350.000
2,金陵电厂,#2机组,120.0,290.000,103.3,330.000,,
2,龙潭电厂,#1机组,100.0,320.000,0.0,390.000,,
2,龙潭电厂,#2机组,0.0,370.000,,,,
2,龙潭电厂,#3机组,0.0,410.000,,,,
3,金陵电厂,#1机组,150.0,270.000,90.0,300.000,0.0,350.000
3,金陵电厂,#2机组,120.0,290.000,101.1,330.000,,
3,龙潭电厂,#1机组,100.0,320.000,0.0,390.000,,
3,龙潭电厂,#2机组,0.0,370.000,,,,
3,龙潭电厂,#3机组,0.0,410.000,,,,
4,金陵电厂,#1机组,150.0,270.000,90.0,300.000,0.0,350.000
4,金陵电厂,#2机组,120.0,290.000,99.2,330.000,,
4,龙潭电厂,#1机组,100.0,320.000,0.0,390.000,,
4,龙潭电厂,#2机组,0.0,370.000,,,,
4,龙潭电厂,#3机组,0.0,410.000,,,,
5,金陵电厂,#1机组,150.0,270.000,90.0,300.000,0.0,350.000
5,金陵电厂,#2机组,120.0,290.000,97.1,330.000,,
5,龙潭电厂,#1机组,100.0,320.000,0.0,390.000,,
5,龙潭电厂,#2机组,0.0,370.000,,,,
5,龙潭电厂,#3机组,0.0,410.000,,,,
6,金陵电厂,#1机组,150.0,270.000,90.0,300.000,0.0,350.000
6,金陵电厂,#2机组,120.0,290.000,95.2,330.000,,
6,龙潭电厂,#1机组,100.0,320.000,0.0,390.000,,
6,龙潭电厂,#2机组,0.0,370.000,,,,
6,龙潭电厂,#3机组,0.0,410.000,,,,
7,金陵电厂,#1机组,150.0,270.000,90.0,300.000,0.0,350.000
7,金陵电厂,#2机组,120.0,290.000,93.4,330.000,,
7,龙潭电厂,#1机组,100.0,320.000,0.0,390.000,,
7,龙潭电厂,#2机组,0.0,370.000,,,,
7,龙潭电厂,#3机组,0.0,410.000,,,,
8,金陵电厂,#1机组,150.0,270.000,90.0,300.000,0.0,350.000
8,金陵电厂,#2机组,120.0,290.000,92.2,330.000,,
8,龙潭电厂,#1机组,100.0,320.000,0.0,390.000,,
8,龙潭电厂,#2机组,0.0,370.000,,,,
8,龙潭电厂,#3机组,0.0,410.000,,,,
9,金陵电厂,#1机组,150.0,270.000,90.0,300.000,0.0,350.000
9,金陵电厂,#2机组,120.0,290.000,91.2,330.000,,
9,龙潭电厂,#1机组,100.0,320.000,0.0,390.000,,
9,龙潭电厂,#2机组,0.0,370.000,,,,
9,龙潭电厂,#3机组,0.0,410.000,,,,
10,金陵电厂,#1机组,150.0,270.000,90.0,300.000,0.0,350.000
10,金陵电厂,#2机组,120.0,290.000,90.7,330.000,,
10,龙潭电厂,#1机组,100.0,320.000,0.0,390.000,,
10,龙潭电厂,#2机组,0.0,370.000,,,,
10,龙潭电厂,#3机组,0.0,410.000,,,,
11,金陵电厂,#1机组,150.0,270.000,90.0,300.000,0.0,350.000
11,金陵电厂,#2机组,120.0,290.000,91.0,330.000,,
11,龙潭电厂,#1机组,100.0,320.000,0.0,390.000,,
11,龙潭电厂,#2机组,0.0,370.000,,,,
11,龙潭电厂,#3机组,0.0,410.000,,,,
12,金陵电厂,#1机组,150.0,270.000,90.0,300.000,0.0,350.000
12,金陵电厂,#2机组,120.0,290.000,92.2,330.000,,
12,龙潭电厂,#1机组,100.0,320.000,0.0,390.000,,
12,龙潭电厂,#2机组,0.0,370.000,,,,
12,龙潭电厂,#3机组,0.0,410.000,,,,
13,金陵电厂,#1机组,150.0,270.000,90.0,300.000,0.0,350.000
13,金陵电厂,#2机组,120.0,290.000,94.6,330.000,,
13,龙潭电厂,#1机组,100.0,320.000,0.0,390.000,,
13,龙潭电厂,#2机组,0.0,370.000,,,,
13,龙潭电厂,#3机组,0.0,410.000,,,,
14,金陵电厂,#1机组,150.0,270.000,90.0,300.000,0.0,350.000
14,金陵电厂,#2机组,120.0,290.000,98.1,330.000,,
14,龙潭电厂,#1机组,100.0,320.000,0.0,390.000,,
14,龙潭电厂,#2机组,0.0,370.000,,,,
14,龙潭电厂,#3机组,0.0,410.000,,,,
15,金陵电厂,#1机组,150.0,270.000,90.0,300.000,0.0,350.000
15,金陵电厂,#2机组,120.0,290.000,103.2,330.000,,
15,龙潭电厂,#1机组,100.0,320.000,0.0,390.000,,
15,龙潭电厂,#2机组,0.0,370.000,,,,
15,龙潭电厂,#3机组,0.0,410.000,,,,
16,金陵电厂,#1机组,150.0,270.000,90.0,300.000,0.0,350.000
16,金陵电厂,#2机组,120.0,290.000,109.9,330.000,,
16,龙潭电厂,#1机组,100.0,320.000,0.0,390.000,,
16,龙潭电厂,#2机组,0.0,370.000,,,,
16,龙潭电厂,#3机组,0.0,410.000,,,,
17,金陵电厂,#1机组,150.0,270.000,90.0,300.000,0.0,350.000
17,金陵电厂,#2机组,120.0,290.000,118.8,330.000,,
17,龙潭电厂,#1机组,100.0,320.000,0.0,390.000,,
17,龙潭电厂,#2机组,0.0,370.000,,,,
17,龙潭电厂,#3机组,0.0,410.000,,,,
18,金陵电厂,#1机组,150.0,270.000,90.0,300.000,0.0,350.000
18,金陵电厂,#2机组,120.0,290.000,129.8,330.000,,
18,龙潭电厂,#1机组,100.0,320.000,0.0,390.000,,
18,龙潭电厂,#2机组,0.0,370.000,,,,
18,龙潭电厂,#3机组,0.0,410.000,,,,
19,金陵电厂,#1机组,150.0,270.000,90.0,300.000,13.5,350.000
